Food,Amount,energy,water,protein,fat,carbohydr.,dietary fiber,alcohol,PUFA,cholesterol,Vit. A,carotene,Vit. E (eq.),Vit. B1,Vit. B2,Vit. B6,tot. fol.acid,Vit. C,sodium,potassium,calcium,magnesium,phosphorus,iron,zinc,Nutrient_Score,Fruit_or_Vegetable,Animal_Product,Injera
Teff Injera,300,506.9,156.3,14.7,3,121.8,16.2,,,,,,,0.2,0.2,,,0,27,705,171,,642,122.4,5.4,2,0,0,1
Barley Injera,300,491.9,168.9,15.6,3.3,107.7,7.5,,,,,,,0.2,0.1,,,0,57,759,162,,555,90.3,4.7,2,0,0,1
Sorghum Injera,300,498.3,168.9,11.4,2.4,112.5,5.7,,,,,,,0.1,0.2,,,0,51,543,174,,384,219,2.1,2,0,0,1
Maize Injera,300,537,162,12.3,2.7,121.5,5.4,,,,,,,0.1,0.2,,,0,93,294,12,,360,11.7,2.2,2,0,0,1
Wheat Injera,300,486.1,173.7,18.6,1.5,102.9,3.6,,,,,,,0.2,0.1,,,0,33,726,57,,582,8.1,2.8,2,0,0,1
Rice parboiled cooked,150,161.7,109.3,3.3,0.3,35.9,0.7,0,0.1,0,0,0,0.2,0.1,0,0.1,4.5,0,3,85.5,13.5,16.5,60,1.7,0.9,2,0,0,0
Wheat Pasta,150,228,97.5,6,5.1,40.1,0.6,,,,,,,0,0.2,,,0,46.5,166.5,19.5,,105,2.7,1,2,0,0,0
Ethiopian Lentils,100,101,73.4,5.6,2.6,14.9,1,,,,,,,0,0,,,0,1079.8,272.5,25.7,,76.6,8.8,0.8,3,0,0,0
Ethiopian Chickpeas,100,126.9,67.9,5.9,5.2,18.3,4.1,,,,,,,0,0.1,,,0,603,290,49,,119,4.4,0.8,2,0,0,0
Oats whole grain,150,529.9,19.1,17.5,10.6,89.7,8.4,0,4.2,0,0,0,1.3,0.8,0.3,1.4,49.5,0,12,532.5,120,193.5,513,8.7,6.8,3,0,0,0
Barley Porridge,300,579.3,148.8,17.7,2.4,126.6,5.1,,,,,,,0.1,0.3,,,0,531,834,54,,621,13.8,4.1,2,0,0,0
French beans dried,100,326,6,28.1,2,47.6,12,0,1.1,0,44,0.3,1.1,0.7,0.4,0.6,88,52.9,92,1227,92,135,346,6.8,1,3,0,0,0
Kocho,100,178,52.9,1.6,0.1,44.1,1.4,,,,,,,0,0,,,0,38.7,371.6,71.3,,98.8,2.8,0.4,2,0,0,0
Ethiopian Sweet Potato,300,410.9,192,2.1,0.6,102.3,3,,,,,,,0.1,0.2,,,4.3,54,1707,39,,162,2.1,0.6,2,0,0,0
Carrot fresh cooked,80,16.8,72.4,0.8,0.2,2.9,2.9,0,0.1,0,1087.2,5.4,0.4,0,0,0.1,4.8,3.6,23.2,112.8,33.6,9.6,28,1.5,0.4,1,1,0,0
Ethiopian Potato,300,251.7,231.6,4.5,0.6,59.4,2.1,,,,,,,0,0,,,8.5,24,1332,54,,222,10.8,1.2,2,0,0,0
swiss chard,80,16.1,,0.9,0.2,3.5,2.5,,0.1,0,440,,1.6,0,0.1,0.1,94.4,21.6,23.2,162.4,109.6,17.6,23.2,0.6,0.1,1,1,0,0
"kale, cooked",80,25.6,,1.5,0.3,4.5,1.6,,0.2,0,592,,0.8,0,0.1,0.1,10.4,32.8,18.4,182.4,57.6,14.4,22.4,0.7,0.2,1,1,0,0
Ethiopian Pumpkin,80,15.1,73.8,0.6,0.2,4.7,1.8,,,,,,,0,0,,,3.3,136,3.2,18.4,,16.8,1,0.2,1,1,0,0
White cabbage fresh cooked,80,15.9,73.6,1,0.1,2.4,2.3,0,0.1,0,8.8,0.1,1.4,0,0,0.1,32.8,17.1,7.2,86.4,36.8,12,20.8,0.3,0.1,1,1,0,0
Tomatoes fresh cooked,80,15.7,74.9,0.8,0.2,2.3,0.9,0,0.1,0,75.2,0.5,0.8,0,0,0.1,19.2,12.2,4.8,180.8,12.8,12,23.2,0.4,0.2,1,1,0,0
Beans green cooked,80,20.3,70.7,1.9,0.2,2.6,2.5,0,0.1,0,44.8,0.2,0.1,0,0.1,0.2,19.2,9.8,1.6,164.8,50.4,20,30.4,0.6,0.3,1,1,0,0
"banana, large, ripe",80,73.6,,0.8,0.4,18.7,1.9,,0.1,0,6.4,,0,0,0.1,0.5,15.2,7.2,0.8,316.8,4.8,23.2,16,0.2,0.2,1,1,0,0
"mango, ripe",100,65,,0.5,0.3,17,1.8,,0.1,0,400,,1,0.1,0.1,0.1,14,36,2,156,10,9,11,0.1,0,1,1,0,0
guava,100,50.9,,0.8,0.6,11.9,5.4,,0.3,0,79,,1,0.1,0.1,0.1,14,184,3,284,20,10,25,0.3,0.2,1,1,0,0
Plums fresh,80,37.7,68.4,0.5,0.2,8.2,1.4,0,0.1,0,48.8,0.3,0.7,0.1,0,0,1.6,4,1.6,176,11.2,8,14.4,0.4,0.1,1,1,0,0
Orange fresh,100,47.1,85.7,1,0.2,9.2,2.2,0,0.1,0,15,0.1,0.2,0.1,0,0.1,24,50,1,177,42,14,23,0.4,0.1,1,1,0,0
Avocado fresh,80,173.8,55.6,1.5,18.8,0.3,2.6,0,1.9,0,9.6,0.1,1,0.1,0.1,0.4,24,10.4,2.4,402.4,8,23.2,30.4,0.5,0.3,1,1,0,0
Papaya fresh,100,12.9,94.5,0.5,0.1,2.4,1.9,0,0,0,93,0.6,0.7,0,0,0,2,82,3,211,21,41,16,0.4,0.1,1,1,0,0
Pineapple fresh,100,58.8,83.8,0.5,0.2,13.1,1.4,0,0.1,0,10,0.1,0.1,0.1,0,0.1,4,19,2,173,16,17,9,0.4,0.3,1,1,0,0
Beef medium fat fresh cooked,85,153.4,54.2,23.5,6.6,0,0,0,0.3,53.5,3.4,0,0.5,0.1,0.2,0.1,2.5,0,31.5,165.8,3.4,15.3,168.3,2.7,5.2,4,0,1,0
"chicken, cooked",85,242.2,,22.9,16.1,0,0,,3.6,67.2,33.2,,0,0.1,0.2,0.2,4.3,0,62,154.7,11.1,17,153,1.2,1.5,4,0,1,0
Fishes cooked,85,81.7,64.9,18.1,0.9,0,0,0,0.3,72.3,7.7,0,0.3,0,0.1,0.2,6.8,0.6,83.3,272.9,14.4,23.8,165.8,0.4,0.6,4,0,1,0
Lamb chop (R),85,242.6,45.6,19.7,18.1,0.5,0,0,1.3,76.5,0,0,0.2,0.1,0.2,0.1,17.9,0.2,106.3,180.2,11.1,19.5,172.6,1.9,3.7,4,0,1,0
"goat, cooked",85,228.5,,21.2,15.3,0,0,,0.6,63.8,0,,0,0.1,0.1,0.3,5.1,0,45,289,3.4,19.5,164.9,1.4,3.5,4,0,1,0
Chicken egg fresh,50,77.2,37,6.4,5.6,0.3,0,0,0.8,198,139,0,1,0.1,0.2,0.1,32.5,0,72,73.5,28,6,108,1,0.7,4,0,1,0
"milk, cow, whole",200,131.9,,6.4,7.8,9.6,0,,0.2,28,110,,0,0.1,0.3,0.1,12,2,110,280,230,22,184,0.2,0.8,4,0,1,0
Yoghurt partially skimmed,200,92.3,178.9,6.8,3,8.2,0,0,0.1,10,44,0,0.1,0.1,0.3,0.1,20,2,100,320,260,24,180,0.1,0.7,4,0,1,0
Butter,8,59.3,1.2,0.1,6.7,0,0,0,0.2,19.2,52.2,0,0.2,0,0,0,0.2,0,0.4,1.3,1,0.2,1.7,0,0,0.5,0,1,0
Vegetable oils linoleic acid 30% - 60%,8,70.6,0,0,8,0,0,0,4.9,0.1,0.3,0,5,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.5,0,0,0
honey,7,21.3,,0,0,5.8,0,,0,0,0,,0,0,0,0,0.1,0.1,0.3,3.6,0.4,0.1,0.3,0,0,0.5,0,0,0
Carbonated soft drinks,340,141.4,304.8,0,0,34,0,0,0,0,0,0,0,0,0,0,3.4,0,23.8,3.4,17,6.8,3.4,1.3,0.1,0.5,0,0,0
Sugar,9,36.5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0.5,0,0,0
Cakes (confectionery),150,370.7,84.7,5.9,24.1,32.2,1.4,0,1.2,132,306,0.3,1.1,0,0.1,0.1,9,1.2,76.5,157.5,70.5,19.5,115.5,1.1,0.8,0.5,0,0,0
Fries vegetarian deep-frozen,116,170.2,79.7,12.8,9.3,8.8,2.9,0,5,0,2.3,0,2,0.1,0.1,0.1,66.1,0.6,508.1,293.5,61.5,51,170.5,2.3,1.1,2,0,0,0
