calories,protein,fat,carbs,fiber,sodium,vegetable_portions,legume_portions,grain_portions,fruit_portions,meat_portions,dairy_portions,processed_food_portions,fermented_portions,PUFA,cholesterol,vitaminA,carotene,vitaminE,vitaminB1,vitaminB2,vitaminB6,folicacid,vitaminC,potassium,calcium,magnesium,phosphorus,iron,zinc,plant_protein,nutrient_score,fruit_or_vegetable,animal_product,injera_sum
16155.275,424.1625,334.7071429,3006.371429,207.5446429,5735.896429,16,3.125,17.125,14.75,0.875,6.625,8.5,18.625,73.55178572,548.7125,8054.075,8.2625,68.89464286,4.7,7.875,6.182142858,962.5071429,1034.075,28568.6,4470.885714,821.5678572,12037.92143,594.4964286,74.93928572,25.775,74.375,25.75,7.5,13
15529.275,469.3125,366.3321429,2741.521429,199.3321429,5854.408929,6.75,3.375,17.5,14.875,2.5,8.125,8.5,16.875,75.46428572,1178.5,5290.45,8.8875,62.79464286,5.2625,7.4625,5.907142858,753.4821429,648.4375,24767.2125,4164.223214,797.3678572,12568.50893,980.0839286,88.76428571,15.75,92.875,18.125,13.125,15.25
15542.0375,425.05,285.3946429,2974.758929,213.2446429,6500.321429,11,5.625,18.625,18.125,0.5,4.125,5.625,21.125,60.93928572,951.325,9739.675,15.375,62.83214286,4.9,7.1875,6.619642858,598.4446429,1478.7625,25625.2875,3673.273214,651.2553572,12191.94643,625.1339286,75.88928572,24.175,80.375,26.625,7.125,15.5
15729.5875,413.1,321.6428571,2949.578571,195.5928571,6560.003571,15.75,5.625,18.625,13.75,0,7.5,2.25,20.125,56.16071429,518.7,9357.35,15.825,57.65535714,4.6,6.9875,6.205357143,535.7928571,729.7375,29351.475,4035.239286,624.4321429,12544.65357,616.9910714,75.43571429,26.925,83.5,23.875,8.5,15.125
11647.4,305.425,186.6428571,2362.941071,213.3428571,3360.528571,11.25,3,17,6.25,0.25,2.25,2.625,16.25,46.63571429,195.775,6756.1,6.7625,51.44285714,3.6,5.3375,3.317857143,429.5428571,557.425,15776.85,2769.439286,443.2321429,9502.028571,999.9035714,68.96071429,18.525,53.25,16.25,2.5,15
11356.9125,336.425,258.3696429,2034.571429,158.8071429,4071.858929,15.25,2,15.25,13.25,0.25,7.625,3.75,14,58.42678572,428.325,12199.45,29.5625,59.79464286,3.7625,6.25,5.619642858,538.8821429,770,19408.5,4004.910714,627.4928572,10141.09643,531.4339286,63.73928571,28.375,69.625,28,8.5,11.5
9043.8,220.7375,172.0428571,1723.791071,102.1928571,4241.753571,16.625,2.25,4.25,5.25,0,9,4,11,24.31071429,555.3,7158.25,6.625,22.51785714,2.2375,5,3.842857143,454.0428571,617.8375,23016.9,4127.289286,566.6571429,7015.903571,284.2160714,40.03571429,16.825,69.5,14.25,10,3
12223.375,305.6,261.7053571,2255.416071,124.2803571,3547.791071,12.25,1.625,13.375,11.625,0.25,10,2.25,17.5,51.17321429,580.075,6160.85,4.325,57.84285714,2.875,5.3125,3.980357143,488.3178571,623.525,19530.775,3122.314286,459.3821429,9177.753571,253.9160714,52.33571429,23.9,72.5,21.125,11.25,12.5
14134.8,446.175,231.4428571,2754.178571,222.8428571,4492.603571,17,3,18,5,0.25,9,3.25,18,51.86071429,569.275,7601.05,6.6,53.76785714,5.125,7.05,3.767857143,580.2178571,648.9,28575.9,5147.464286,619.5821429,14161.65357,1136.328571,91.11071429,16.7,75,15,10.25,16
18180.8875,597,356.0767857,3285.980357,253.5892857,6280.367857,16,7.5,14.75,13.875,3.125,6,11,19.75,91.20357143,892.8875,6190.875,10.2375,72.66428572,7.4875,9.1125,9.089285715,1335.689286,801.7875,37026.8,5079.496429,1474.385714,14413.71786,754.9928571,81.74107143,20.9875,96.5,22.375,10.125,13.75
