dataset,model,bal_acc_mean,bal_acc_std,bal_acc_ci95,accuracy_mean,f1_mean,roc_auc_mean,roc_auc_std,roc_auc_ci95,brier_mean,runtime_sec
combined,LateFusion,0.6653333333333333,0.13935366677789446,0.05462663737693463,0.6669090909090909,0.6808840048840049,0.7149333333333334,0.1342645260780485,0.05263169422259502,0.2203026086361441,24.40147304534912
combined,LogReg-L2,0.6593333333333333,0.14394250395364272,0.05642546154982795,0.6603636363636365,0.6593464313464313,0.7106666666666667,0.17323715280248378,0.06790896389857363,0.25835685972040656,1089.4847292900085
combined,LightGBM,0.598,0.10995790440318848,0.04310349852604988,0.604,0.6067367926191455,0.6712,0.14656208392501946,0.057452336898607625,0.26909283950412666,1008.4699449539185
combined,Dummy,0.5,0.0,0.0,0.5181818181818181,0.6818627450980393,0.5,0.0,0.0,0.48181818181818187,1.173985242843628
diet,LogReg-L2,0.7146666666666667,0.14948367927760664,0.0585976022768218,0.7105454545454546,0.6979063159063159,0.7687999999999999,0.14030020722774486,0.05499768123327599,0.21744916605593648,99.75177121162415
diet,LightGBM,0.6913333333333332,0.13018149723452338,0.05103114691593317,0.693090909090909,0.6931153291153292,0.7850666666666666,0.13860789352756267,0.05433429426280456,0.21314931037704668,208.70118927955627
diet,Dummy,0.5,0.0,0.0,0.5181818181818181,0.6818627450980393,0.5,0.0,0.0,0.48181818181818187,0.3777034282684326
metabolome,LogReg-L2,0.6226666666666667,0.14295816533880476,0.056039600812811466,0.6232727272727273,0.614931290931291,0.624,0.15421245566257444,0.06045128261972917,0.27935676129299686,433.293270111084
metabolome,LightGBM,0.564,0.1427799394561824,0.0559697362668235,0.5618181818181818,0.5230767010767011,0.6077333333333333,0.1711662609537548,0.06709717429387188,0.3014018112033286,467.17324709892273
metabolome,Dummy,0.5,0.0,0.0,0.5181818181818181,0.6818627450980393,0.5,0.0,0.0,0.48181818181818187,0.6515874862670898
microbiome,LightGBM,0.6393333333333334,0.16343250957256084,0.06406554375244385,0.6407272727272726,0.6513826173826175,0.6866666666666668,0.15596770795881412,0.06113934151985514,0.2555262814682354,509.8267123699188
microbiome,LogReg-L2,0.5953333333333334,0.11770569072746496,0.046140630765166266,0.5963636363636364,0.5986422466422466,0.5952000000000001,0.17260015879139515,0.0676592622462269,0.2908909919155311,441.70596075057983
microbiome,Dummy,0.5,0.0,0.0,0.5181818181818181,0.6818627450980393,0.5,0.0,0.0,0.48181818181818187,0.7445425987243652
