"source","target","correlation","direct","cor"
"CYTOSINE","seq1585",-0.641268388501544,"undirected","-"
"ALPHA.GLUCOSE.1.PHOSPHATE","seq1585",-0.712839947557022,"undirected","-"
"N.Formyltryptophan","seq1585",0.637434197837857,"undirected","+"
"TRYPTOPHAN","seq1585",0.649256285717557,"undirected","+"
"Maltose","seq1585",-0.646700158608433,"undirected","-"
"X1.3.Dihydro..2H..indol.2.one","seq1585",0.671941913811035,"undirected","+"
"N..4.Chlorobenzoyl.tryptophan","seq1585",0.671302882033754,"undirected","+"
".beta..Gentiobiose","seq1585",-0.751820885971167,"undirected","-"
"X2..1H.Pyrrol.1.yl.benzoic.acid","seq1585",0.706449629784212,"undirected","+"
"X2.alpha..Mannobiose","seq1585",-0.686639644688499,"undirected","-"
"X1.Butyl.2.methylindole","seq1585",0.646061126831152,"undirected","+"
"Chelidonic.acid","seq1585",-0.695586089570434,"undirected","-"
"X1..Piperidin.4.yl.ethan.1.ol","seq1585",-0.633919523062812,"undirected","-"
"X4.alpha..Mannobiose","seq1585",-0.670024818479191,"undirected","-"
"Endothal","seq1585",0.644144031499308,"undirected","+"
"D.....Cellobiose","seq1585",-0.734567027984578,"undirected","-"
"N.Acetyl.D.glucosamine","seq1391",-0.696061222856611,"undirected","-"
"PYROGLUTAMIC.ACID","seq1391",0.754536001699828,"undirected","+"
"ALPHA.GLUCOSE.1.PHOSPHATE","seq1391",-0.684788976332617,"undirected","-"
"Maltose","seq1391",-0.652381267576135,"undirected","-"
"Azelaic.acid..Not.validated.","seq1391",0.702401861526357,"undirected","+"
"X1.3.Dihydro..2H..indol.2.one","seq1391",0.685493491740367,"undirected","+"
".beta..Gentiobiose","seq1391",-0.705924438565105,"undirected","-"
"X.2.Oxo.1.pyrrolidinyl.acetic.acid","seq1391",-0.720014746720097,"undirected","-"
"Indole.3.carbinol","seq1391",0.641109021052142,"undirected","+"
"X2.alpha..Mannobiose","seq1391",-0.712265077234852,"undirected","-"
"theophylline","seq1391",-0.674925760624123,"undirected","-"
"Chelidonic.acid","seq1391",-0.745377301399083,"undirected","-"
"X4.alpha..Mannobiose","seq1391",-0.758058578738576,"undirected","-"
"N.Acetyl..beta..D.mannosamine","seq1391",-0.668585121954376,"undirected","-"
"D.....Cellobiose","seq1391",-0.710856046419353,"undirected","-"
"CYTOSINE","seq897",-0.651492896938041,"undirected","-"
"ALPHA.GLUCOSE.1.PHOSPHATE","seq897",-0.7237034877708,"undirected","-"
"Maltose","seq897",-0.643504999722027,"undirected","-"
"X1.3.Dihydro..2H..indol.2.one","seq897",0.690473835352185,"undirected","+"
"N..4.Chlorobenzoyl.tryptophan","seq897",0.652770960492603,"undirected","+"
".beta..Gentiobiose","seq897",-0.75948926729854,"undirected","-"
"X2..1H.Pyrrol.1.yl.benzoic.acid","seq897",0.682805454024813,"undirected","+"
"X2.alpha..Mannobiose","seq897",-0.693668994238591,"undirected","-"
"Chelidonic.acid","seq897",-0.679610295138407,"undirected","-"
"X4.alpha..Mannobiose","seq897",-0.667468691370067,"undirected","-"
"Endothal","seq897",0.668427239035989,"undirected","+"
"D.....Cellobiose","seq897",-0.750542822416605,"undirected","-"
"L.Kynurenine","seq1572",-0.661169876804573,"undirected","-"
"CYTOSINE","seq1572",-0.642839163202916,"undirected","-"
"ALPHA.GLUCOSE.1.PHOSPHATE","seq1572",-0.635254040333265,"undirected","-"
"TRYPTOPHAN","seq1572",0.644735443920329,"undirected","+"
"X1.3.Dihydro..2H..indol.2.one","seq1572",0.689614087565763,"undirected","+"
"N..4.Chlorobenzoyl.tryptophan","seq1572",0.663698251094456,"undirected","+"
".beta..Gentiobiose","seq1572",-0.685821526130938,"undirected","-"
"X2..1H.Pyrrol.1.yl.benzoic.acid","seq1572",0.709208988312362,"undirected","+"
"X1.Butyl.2.methylindole","seq1572",0.63841450819562,"undirected","+"
"indole.3.propionic.acid","seq1572",-0.651056379645038,"undirected","-"
"Chelidonic.acid","seq1572",-0.703520146160123,"undirected","-"
"D.....Cellobiose","seq1572",-0.683293151841054,"undirected","-"
"L.Kynurenine","seq882",-0.647263818210212,"undirected","-"
"CYTOSINE","seq882",-0.639046601768091,"undirected","-"
"ALPHA.GLUCOSE.1.PHOSPHATE","seq882",-0.663698251094456,"undirected","-"
"X1.3.Dihydro..2H..indol.2.one","seq882",0.679500590406229,"undirected","+"
".beta..Gentiobiose","seq882",-0.715529924037071,"undirected","-"
"X2..1H.Pyrrol.1.yl.benzoic.acid","seq882",0.674443841826462,"undirected","+"
"X2.alpha..Mannobiose","seq882",-0.656113128224805,"undirected","-"
"indole.3.propionic.acid","seq882",-0.642839163202916,"undirected","-"
"Chelidonic.acid","seq882",-0.688349900420822,"undirected","-"
"X4.alpha..Mannobiose","seq882",-0.633357759615852,"undirected","-"
"D.....Cellobiose","seq882",-0.706680614022478,"undirected","-"
"CYTOSINE","seq971",-0.706307033724187,"undirected","-"
"TRYPTOPHAN","seq971",0.63733895370927,"undirected","+"
"Phe.Val","seq971",-0.64657575013984,"undirected","-"
"Ile.Ala","seq971",-0.648423109425953,"undirected","-"
"Val.Ala","seq971",-0.636107380851861,"undirected","-"
"Ile.Glu","seq971",-0.665049343000978,"undirected","-"
"X2..1H.Pyrrol.1.yl.benzoic.acid","seq971",0.639186312995384,"undirected","+"
"Leu.Ser","seq971",-0.674901925860252,"undirected","-"
"Leu.ala","seq971",-0.687833440863048,"undirected","-"
"Chelidonic.acid","seq971",-0.674286139431547,"undirected","-"
"Ile.Thr","seq971",-0.674286139431547,"undirected","-"
"X4.Hydroxyquinoline","seq622",0.660119825931335,"undirected","+"
"X5.Hydroxy.3.4.dihydro.2.1H..quinolinone","seq622",0.656285635267649,"undirected","+"
"Azelaic.acid..Not.validated.","seq622",0.67545658858608,"undirected","+"
"X1.3.Dihydro..2H..indol.2.one","seq622",0.639990324946981,"undirected","+"
"Quinoline.2.4.diol","seq622",0.649575801606197,"undirected","+"
"X1..2.8.Dihydroxyquinolin.5.yl.ethan.1.one","seq622",0.708366725116055,"undirected","+"
"X5.Phenylisoxazol.3.ol","seq622",0.678651747472486,"undirected","+"
"X.3.Oxo.2.3.dihydro.4H.1.4.benzoxazin.4.yl.acetic.acid","seq622",0.655327087601727,"undirected","+"
"X17.beta..Methyl.epi.testosterone","seq622",-0.660758857708616,"undirected","-"
"X4.Hydroxyquinoline","seq1113",0.656665935228722,"undirected","+"
"Azelaic.acid..Not.validated.","seq1113",0.793142719678346,"undirected","+"
"N.Acetyl.DL.valine","seq1113",0.727990485895862,"undirected","+"
"X1.3.Dihydro..2H..indol.2.one","seq1113",0.784912963832138,"undirected","+"
"X3.METHYLADIPIC.ACID","seq1113",0.652208150812025,"undirected","+"
"indole.3.propionic.acid","seq1113",-0.685470080690451,"undirected","-"
"X6.Oxooctadecanoic.acid","seq1113",-0.635062826132424,"undirected","-"
"Chelidonic.acid","seq1113",-0.645692927433777,"undirected","-"
"DEOXYCARNITINE","seq1495",-0.666510143704146,"undirected","-"
"CYTOSINE","seq1495",-0.719549781218474,"undirected","-"
"N.ACETYLMURAMIC.ACID","seq1495",-0.666510143704146,"undirected","-"
".beta..Gentiobiose","seq1495",-0.671302882033754,"undirected","-"
"X.2R..6.Oxo.2.piperidinecarboxylic.acid","seq1495",-0.656285635267649,"undirected","-"
"Chelidonic.acid","seq1495",-0.690793351240826,"undirected","-"
"D.....Cellobiose","seq1495",-0.673219977365597,"undirected","-"
"Traumatic.Acid","seq1495",-0.688876255908983,"undirected","-"
"L.Kynurenine","seq1014",-0.695266573681793,"undirected","-"
"Azelaic.acid..Not.validated.","seq1014",0.635197586617374,"undirected","+"
"N..4.Bromophenyl.acrylamide","seq1014",-0.641268388501544,"undirected","-"
"X7..3.5.Dihydroxy.4..4.hydroxyphenyl..2.methoxyphenyl..3.methoxy.3.4.dihydrooxepine.2.5.dione","seq1014",-0.661717405374538,"undirected","-"
"X2..1H.Pyrrol.1.yl.benzoic.acid","seq1014",0.641587904390184,"undirected","+"
"X3.METHYL.2.OXINDOLE","seq1014",-0.650853865160759,"undirected","-"
"Quinoline.2.carboxylic.acid","seq1014",-0.650853865160759,"undirected","-"
"X1.Hexadecylamine","seq75",0.661775043819953,"undirected","+"
"N.Methyldodecylamine","seq75",0.64198364064029,"undirected","+"
"X9..2..4.Morpholinyl.ethyl..9H.purin.6.ylamine","seq75",0.677237077554064,"undirected","+"
"Bis.2.ethylhexyl..adipate","seq75",0.638581993218786,"undirected","+"
"N.Cyclohexyl.N...tetrahydro.2.furanylmethyl.urea","seq75",0.658064155723766,"undirected","+"
"Isoprocarb","seq75",0.639509715242833,"undirected","+"
"X6.Heptynoic.acid","seq75",0.655280989651626,"undirected","+"
"L.CARNITINE","seq890",-0.649927953653131,"undirected","-"
"X4.Hydroxyquinoline","seq890",0.696266509763684,"undirected","+"
"X1..2.8.Dihydroxyquinolin.5.yl.ethan.1.one","seq890",0.702207350290677,"undirected","+"
"indole.3.propionic.acid","seq890",-0.665374139023315,"undirected","-"
"X6.Oxooctadecanoic.acid","seq890",-0.754090690893091,"undirected","-"
"D.erythro.N.stearoylsphingosine","seq1134",-0.677054168029283,"undirected","-"
"Quinoline.2.4.diol","seq1134",0.63296097539689,"undirected","+"
"X1..2.8.Dihydroxyquinolin.5.yl.ethan.1.one","seq1134",0.698781248456839,"undirected","+"
"X5.Phenylisoxazol.3.ol","seq1134",0.658841762376773,"undirected","+"
"X2..Hydroxymethyl..6.methylpyridin.3.ol","seq1134",0.645422095053871,"undirected","+"
"X.E..Ferulic.acid","seq1594",-0.671484439180614,"undirected","-"
"GLYCERIC.ACID","seq1594",-0.675849451786338,"undirected","-"
"Thr.Glu","seq1594",-0.7002207721683,"undirected","-"
"X6.O...2Z..3..4.Hydroxy.3.methoxyphenyl.prop.2.enoyl...beta..D.fructofuranosyl.6.O.acetyl..alpha..D.glucopyranoside","seq1594",-0.638019342536726,"undirected","-"
"X5.Fluoroindole.2.carboxylic.acid","seq1594",-0.687489485401603,"undirected","-"
"Azelaic.acid..Not.validated.","seq1780",0.724561420959942,"undirected","+"
"N.Acetyl.DL.valine","seq1780",0.633005387170872,"undirected","+"
"X1.3.Dihydro..2H..indol.2.one","seq1780",0.651522337824841,"undirected","+"
"X3.METHYLADIPIC.ACID","seq1780",0.723189794985574,"undirected","+"
"Undecanedioic.acid","seq1780",0.639863517042712,"undirected","+"
"L.Kynurenine","seq1096",-0.652480170898706,"undirected","-"
"CYTOSINE","seq1096",-0.690069042962002,"undirected","-"
"X2..1H.Pyrrol.1.yl.benzoic.acid","seq1096",0.677539418940903,"undirected","+"
"Chelidonic.acid","seq1096",-0.66313035131664,"undirected","-"
"D.....Cellobiose","seq1096",-0.633998975467586,"undirected","-"
"Urocanic.acid","seq1188",0.71352878033745,"undirected","+"
"N.Methyltryptamine","seq1188",0.660742995297432,"undirected","+"
"X2.Aminonicotinic.acid","seq1188",0.655525795613245,"undirected","+"
"L.Leucyl.L.leucine.methyl.ester","seq1188",0.671791182863948,"undirected","+"
"Tryptamine","seq1188",0.661356783495572,"undirected","+"
"TRYPTOPHAN","seq205",0.635919483343442,"undirected","+"
"Indolelactic.acid","seq205",0.65791093521699,"undirected","+"
"X2..1H.Pyrrol.1.yl.benzoic.acid","seq205",0.640806472648675,"undirected","+"
"Eglumegad","seq205",0.644471714627599,"undirected","+"
"Val.Pro","seq205",-0.653023945911757,"undirected","-"
"TRYPTOPHAN","seq114",0.640806472648675,"undirected","+"
"Indolelactic.acid","seq114",0.649969577595986,"undirected","+"
"X2..1H.Pyrrol.1.yl.benzoic.acid","seq114",0.637752104332904,"undirected","+"
"Eglumegad","seq114",0.660965303532761,"undirected","+"
"Val.Pro","seq114",-0.656689187890682,"undirected","-"
"Indolelactic.acid","seq147",0.65485656690122,"undirected","+"
"X2..1H.Pyrrol.1.yl.benzoic.acid","seq147",0.633475988690825,"undirected","+"
"Chelidonic.acid","seq147",-0.642028219974983,"undirected","-"
"Eglumegad","seq147",0.680513260753693,"undirected","+"
"Val.Pro","seq147",-0.660965303532761,"undirected","-"
"X1..2.8.Dihydroxyquinolin.5.yl.ethan.1.one","seq1612",0.643248160083045,"undirected","+"
"Demissidine","seq1612",-0.639893541256015,"undirected","-"
"X6.Oxooctadecanoic.acid","seq1612",-0.674278384233075,"undirected","-"
"X1.2.Di..9Z.12Z.15Z.octadecatrienoyl..sn.glycero.3.phosphocholine","seq1612",-0.649118743030348,"undirected","-"
"X4.Formyl.2.hydroxybenzoic.acid","seq468",0.747368582792734,"undirected","+"
"X1.Amino.3.3.dimethyl.2.butanone","seq468",0.652302772745595,"undirected","+"
"Quercetagetinidin.cation","seq468",0.635855400765121,"undirected","+"
"X6.Heptynoic.acid","seq468",0.651644877866376,"undirected","+"
"X4.Formyl.2.hydroxybenzoic.acid","seq487",0.748684372551172,"undirected","+"
"X1.Amino.3.3.dimethyl.2.butanone","seq487",0.656250142020908,"undirected","+"
"Quercetagetinidin.cation","seq487",0.65493435226247,"undirected","+"
"X6.Heptynoic.acid","seq487",0.652302772745595,"undirected","+"
"X4.Formyl.2.hydroxybenzoic.acid","seq892",0.753289636705704,"undirected","+"
"X1.Amino.3.3.dimethyl.2.butanone","seq892",0.657565931779346,"undirected","+"
"Quercetagetinidin.cation","seq892",0.644408034194967,"undirected","+"
"X6.Heptynoic.acid","seq892",0.643750139315748,"undirected","+"
"X1.Methylxanthine","seq208",0.685895816445166,"undirected","+"
"Xanthosine","seq208",0.643839084688384,"undirected","+"
"X.E..3.4..Methylenedioxy.cinnamaldehyde","seq208",0.636823751911381,"undirected","+"
"X3..Carboxymethyl..1..beta..D.glucopyranosyl.1H.indole","seq208",0.648477694808617,"undirected","+"
"N.Methyltryptamine","seq1428",0.635491594423157,"undirected","+"
"X5.Aminopentanamide","seq1428",-0.647191536568544,"undirected","-"
"X5.VALEROLACTONE","seq1428",-0.649038895854658,"undirected","-"
"Tryptamine","seq1428",0.637954740137975,"undirected","+"
"Pentadecylamine","seq1425",0.649096176157982,"undirected","+"
"Oleoyl.L.Carnitine","seq1425",-0.633634142423871,"undirected","-"
"Dihexadecyldimethylammonium.cation","seq1425",0.710016589070379,"undirected","+"
"Tetradonium.cation","seq1425",0.649096176157982,"undirected","+"
"X5.Hydroxy.3.4.dihydro.2.1H..quinolinone","seq883",0.645012659272355,"undirected","+"
"Indole.3.carbinol","seq883",0.636966763314696,"undirected","+"
"PYRIDOXINE","seq883",0.636296271984891,"undirected","+"
"X17.beta..Methyl.epi.testosterone","seq883",-0.647694624591575,"undirected","-"
"Urocanic.acid","seq681",0.748514707631415,"undirected","+"
"UROCANATE","seq681",0.654298219216965,"undirected","+"
"X2.Aminonicotinic.acid","seq681",0.669029135972319,"undirected","+"
"L.Leucyl.L.leucine.methyl.ester","seq681",0.661970571693712,"undirected","+"
"X1.Hexadecylamine","seq20",0.651564597362705,"undirected","+"
"N.Methyldodecylamine","seq20",0.707902889615872,"undirected","+"
"Bis.2.ethylhexyl..adipate","seq20",0.64727798816953,"undirected","+"
"Isoprocarb","seq20",0.636867651557532,"undirected","+"
"X1.Methylxanthine","seq1561",0.655327087601727,"undirected","+"
"Xanthosine","seq1561",0.655646603490368,"undirected","+"
"X3..Deoxyguanosine","seq1561",0.678332231583845,"undirected","+"
"Guanosine","seq1561",0.662356437151819,"undirected","+"
"Indolelactic.acid","seq138",0.633796374351094,"undirected","+"
"Chelidonic.acid","seq138",-0.635017561970268,"undirected","-"
"Eglumegad","seq138",0.637765234113408,"undirected","+"
"Val.Pro","seq138",-0.697603427452914,"undirected","-"
"Indolelactic.acid","seq61",0.635933452684648,"undirected","+"
"Chelidonic.acid","seq61",-0.656693642210599,"undirected","-"
"Eglumegad","seq61",0.634101671255888,"undirected","+"
"Val.Pro","seq61",-0.642039390780516,"undirected","-"
"X4.Formyl.2.hydroxybenzoic.acid","seq516",0.734868580087573,"undirected","+"
"X1.Amino.3.3.dimethyl.2.butanone","seq516",0.639144875161215,"undirected","+"
"X6.Heptynoic.acid","seq516",0.638486980281997,"undirected","+"
"UROCANATE","seq598",-0.659684704710838,"undirected","-"
"X2.Aminonicotinic.acid","seq598",-0.653419892700289,"undirected","-"
"X1.Palmitoyl.2.hydroxy.sn.glycero.3.phosphoethanolamine","seq598",0.68912932116042,"undirected","+"
"PYROGLUTAMIC.ACID","seq1041",-0.648122757103958,"undirected","-"
"X4.Methyl.5.thiazoleethanol","seq1041",-0.638792774995935,"undirected","-"
"X3..Deoxyguanosine","seq1041",0.654964743983174,"undirected","+"
"X1.Methylxanthine","seq323",0.745154571027391,"undirected","+"
"Xanthosine","seq323",0.687930680764854,"undirected","+"
"N.alpha..Acetyl.L.lysine","seq323",0.700370656908883,"undirected","+"
"PYROGLUTAMIC.ACID","seq1106",0.712732283582655,"undirected","+"
"X6.Oxooctadecanoic.acid","seq1106",-0.643671676612745,"undirected","-"
"X4.alpha..Mannobiose","seq1106",-0.65372904655982,"undirected","-"
"N.ACETYLMURAMIC.ACID","seq1459",-0.706130113895571,"undirected","-"
"N.Acetyltyramine","seq1459",0.677054168029283,"undirected","+"
"Cotinine","seq1459",0.689195771797623,"undirected","+"
"X1.Myristoyl.sn.glycero.3.phosphocholine","seq1359",-0.665238597568522,"undirected","-"
"Propamocarb","seq1359",-0.671410914453178,"undirected","-"
"Pro.Asp","seq1359",0.636434452106792,"undirected","+"
"X5.Hydroxy.3.4.dihydro.2.1H..quinolinone","seq1507",0.6780319580892,"undirected","+"
"Quinoline.2.4.diol","seq1507",0.670029434978705,"undirected","+"
"X5.Phenylisoxazol.3.ol","seq1507",0.633290578880525,"undirected","+"
"X5.Hydroxy.3.4.dihydro.2.1H..quinolinone","seq1085",0.64492546949656,"undirected","+"
"Quinoline.2.4.diol","seq1085",0.691051478368226,"undirected","+"
"X5.Phenylisoxazol.3.ol","seq1085",0.67260107481956,"undirected","+"
"L.Kynurenine","seq1571",-0.643471256775387,"undirected","-"
"Azelaic.acid..Not.validated.","seq1571",0.653584753934921,"undirected","+"
"indole.3.propionic.acid","seq1571",-0.667490812529282,"undirected","-"
"L.Kynurenine","seq1635",-0.666510143704146,"undirected","-"
"Azelaic.acid..Not.validated.","seq1635",0.645422095053871,"undirected","+"
"X7..3.5.Dihydroxy.4..4.hydroxyphenyl..2.methoxyphenyl..3.methoxy.3.4.dihydrooxepine.2.5.dione","seq1635",-0.646380642719792,"undirected","-"
"Adenine","seq1587",-0.668648717741607,"undirected","-"
"CYTOSINE","seq1587",-0.668026718934406,"undirected","-"
"Thr.Glu","seq1587",-0.696638664065675,"undirected","-"
"CYTOSINE","seq1650",-0.697686023722322,"undirected","-"
"Leu.Ser","seq1650",-0.678596644432479,"undirected","-"
"Leu.ala","seq1650",-0.697686023722322,"undirected","-"
"INDOLE.3.CARBOXALDEHYDE","seq979",0.674839979389099,"undirected","+"
"X3.Isopropylmalic.acid","seq979",-0.633691200158056,"undirected","-"
"X2...2.Methoxy.2.oxoethyl.amino.benzoic.acid","seq979",0.637463171587568,"undirected","+"
"Urocanic.acid","seq737",0.685996915155145,"undirected","+"
"UROCANATE","seq737",0.635878419070751,"undirected","+"
"X2.Aminonicotinic.acid","seq737",0.639324065676553,"undirected","+"
"X2.Methyl.N..4.Methylphenyl.alanine","seq831",0.652893963799209,"undirected","+"
"X2..4.Morpholinyl.benzaldehyde","seq831",0.637120265093976,"undirected","+"
"X3..Dimethylamino.propiophenone","seq831",0.648093272888921,"undirected","+"
"X1.Hexadecylamine","seq172",0.633372494266531,"undirected","+"
"N.Methyldodecylamine","seq172",0.654046373901344,"undirected","+"
"Bis.2.ethylhexyl..adipate","seq172",0.654672855102399,"undirected","+"
"X1.Hexadecylamine","seq89",0.664294726091197,"undirected","+"
"N.Methyldodecylamine","seq89",0.689174678379257,"undirected","+"
"Bis.2.ethylhexyl..adipate","seq89",0.647500758296756,"undirected","+"
"X1.Methylxanthine","seq1444",0.694150668836868,"undirected","+"
"Xanthosine","seq1444",0.685442685536048,"undirected","+"
"X3..Deoxyguanosine","seq1444",0.635682780959928,"undirected","+"
"ORNITHINE","seq333",-0.709224322921936,"undirected","-"
"X5.Hydroxy.3.4.dihydro.2.1H..quinolinone","seq333",-0.635919483343442,"undirected","-"
"X1.3.Dihydro..2H..indol.2.one","seq333",-0.636530357006596,"undirected","-"
"Indolelactic.acid","seq107",0.676848018774768,"undirected","+"
"Eglumegad","seq107",0.636530357006596,"undirected","+"
"Val.Pro","seq107",-0.692119860353621,"undirected","-"
"Indolelactic.acid","seq48",0.645397656733243,"undirected","+"
"Eglumegad","seq48",0.633491077446301,"undirected","+"
"Val.Pro","seq48",-0.67745383173655,"undirected","-"
"Indolelactic.acid","seq137",0.663614163614163,"undirected","+"
"Eglumegad","seq137",0.659340659340659,"undirected","+"
"Val.Pro","seq137",-0.652014652014652,"undirected","-"
"Indolelactic.acid","seq228",0.640806472648675,"undirected","+"
"Eglumegad","seq228",0.646915209280216,"undirected","+"
"Val.Pro","seq228",-0.657300061553836,"undirected","-"
"Indolelactic.acid","seq144",0.646304335617062,"undirected","+"
"Eglumegad","seq144",0.649969577595986,"undirected","+"
"Val.Pro","seq144",-0.653634819574911,"undirected","-"
"X5.Hydroxyindole.3.acetic.acid","seq315",0.642379006234472,"undirected","+"
"N..4.Bromophenyl.acrylamide","seq315",0.662587306716586,"undirected","+"
"Quinoline.2.carboxylic.acid","seq315",0.670548152361055,"undirected","+"
"X1.Methylxanthine","seq820",0.699153020377298,"undirected","+"
"Xanthosine","seq820",0.804088621553999,"undirected","+"
"X1.Tetrahydro.3.furanyl.4.piperidinamine","seq820",-0.644335915284992,"undirected","-"
"Tyramine","seq1349",-0.664802775450755,"undirected","-"
"X4.Hydroxyphenethyl.alcohol","seq1349",-0.666776460088412,"undirected","-"
"Phenylacetaldehyde","seq1349",-0.645065929074186,"undirected","-"
"X2.Aminoisobutyric.acid","seq1251",0.647945155122258,"undirected","+"
".gamma..Aminobutyric.acid","seq1251",0.648701217146905,"undirected","+"
"X4.Hydroxybutanoic.acid.lactone","seq1251",0.67062701586166,"undirected","+"
"Ile.Pro","seq703",-0.706924182323557,"undirected","-"
"X3.Hydroxypyridine","seq703",-0.682494169023662,"undirected","-"
"Val.Pro","seq703",-0.666413653940186,"undirected","-"
"Ile.Pro","seq366",-0.659919599771859,"undirected","-"
"X3.Hydroxypyridine","seq366",-0.726406344828537,"undirected","-"
"Val.Pro","seq366",-0.666413653940186,"undirected","-"
"Azelaic.acid..Not.validated.","seq629",0.639838097789111,"undirected","+"
"Enterolactone","seq629",0.642384355142451,"undirected","+"
"X4.Formyl.2.hydroxybenzoic.acid","seq785",0.723684367140851,"undirected","+"
"X1.Amino.3.3.dimethyl.2.butanone","seq785",0.644408034194967,"undirected","+"
"X4.Formyl.2.hydroxybenzoic.acid","seq398",0.735526474966792,"undirected","+"
"X1.Amino.3.3.dimethyl.2.butanone","seq398",0.639144875161215,"undirected","+"
"X4.Formyl.2.hydroxybenzoic.acid","seq413",0.728289631295384,"undirected","+"
"X1.Amino.3.3.dimethyl.2.butanone","seq413",0.637829085402778,"undirected","+"
"X4.Formyl.2.hydroxybenzoic.acid","seq660",0.667607226559826,"undirected","+"
"pantothenic.acid","seq660",-0.640410811898805,"undirected","-"
"X4.Formyl.2.hydroxybenzoic.acid","seq819",0.721710682503194,"undirected","+"
"X1.Amino.3.3.dimethyl.2.butanone","seq819",0.633881716127464,"undirected","+"
"X4.Formyl.2.hydroxybenzoic.acid","seq770",0.727631736416165,"undirected","+"
"X1.Amino.3.3.dimethyl.2.butanone","seq770",0.639802770040434,"undirected","+"
"X4.Formyl.2.hydroxybenzoic.acid","seq848",0.744737003275858,"undirected","+"
"X1.Amino.3.3.dimethyl.2.butanone","seq848",0.6490132983495,"undirected","+"
"Tyr.Pro","seq1636",0.63584816272791,"undirected","+"
