"","high","Means","SD"
"num.edges",678,678,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",564,564,0
"connectance",0.0042704357356109,0.0042704357356109,0
"average.degree",2.40425531914894,2.40425531914894,0
"average.path.length",6.52822617419061,6.82129000731051,0.141869244360365
"diameter",18,16.24,1.28801781780762
"edge.connectivity",0,0,0
"clustering.coefficient",0,0.00398352844553995,0.00278931511637733
"no.clusters",66,59.35,5.06996503484447
"centralization.degree",0.0543441290956502,0.0107029212803749,0.00175371963986916
"centralization.betweenness",0.0549132305482903,0.0624524434238082,0.0136805680730705
"centralization.closeness",1.18202322677317,NA,NA
