"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
17,0.352697095435685,1131.9519321514,17
8,0.315985130111524,300.404722115987,8
7,0.37117903930131,447.014115513381,7
1,1,0,1
15,0.355648535564854,113.883191477335,15
22,0.435897435897436,971.774767094587,22
11,0.32319391634981,55.6585845042236,11
21,0.391705069124424,488.417244985027,21
10,0.34136546184739,59.2024515480382,10
22,0.395348837209302,665.41076061648,22
10,0.34136546184739,58.8191072858735,10
11,0.34412955465587,65.4898620671251,11
6,0.29616724738676,10.1360791727298,6
4,0.286195286195286,3.54028649992055,4
4,0.292096219931271,5.79959077550543,4
1,0.26813880126183,0,1
3,0.288135593220339,3.93930386299631,3
1,0.26813880126183,0,1
1,0.235457063711911,0,1
3,0.238095238095238,3,3
1,0.235457063711911,0,1
1,0.235457063711911,0,1
2,0.236768802228412,1,2
1,0.264797507788162,0,1
4,0.275080906148867,41.1682978496354,4
9,0.288135593220339,107.410491921382,9
1,0.187637969094923,0,1
8,0.286195286195286,92.8417200104867,8
9,0.288135593220339,107.410491921382,9
8,0.286195286195286,92.8417200104867,8
2,0.232876712328767,0.594350742282747,2
5,0.278688524590164,33.2909278737371,5
1,0.231607629427793,0,1
1,0.26813880126183,0,1
1,1,0,1
1,0.261538461538462,0,1
1,0.261538461538462,0,1
1,0.261538461538462,0,1
1,0.261538461538462,0,1
1,0.261538461538462,0,1
1,0.240793201133144,0,1
1,0.261538461538462,0,1
1,0.261538461538462,0,1
1,0.261538461538462,0,1
1,0.261538461538462,0,1
1,0.261538461538462,0,1
1,0.261538461538462,0,1
3,0.313653136531365,168.204723012506,3
3,0.313653136531365,168.204723012506,3
1,0.261538461538462,0,1
1,0.261538461538462,0,1
1,0.261538461538462,0,1
1,1,0,1
9,0.406698564593301,773.879261838915,9
2,0.325670498084291,4.25846491273051,2
8,0.349794238683128,54.1868736978823,8
1,0.284280936454849,0,1
13,0.36480686695279,254.442335325571,13
7,0.306859205776173,315.73332540443,7
6,0.33596837944664,15.6657714537263,6
6,0.34412955465587,25.3109984662938,6
1,0.284280936454849,0,1
5,0.34136546184739,19.8215069657897,5
3,0.33596837944664,12.3892083075862,3
7,0.346938775510204,28.5811414552859,7
1,0.284280936454849,0,1
6,0.33596837944664,27.0370772487388,6
3,0.33596837944664,12.3892083075862,3
5,0.34136546184739,16.7215142958542,5
4,0.300353356890459,66.7333254044296,4
12,0.384615384615385,412.898542447595,12
3,0.298245614035088,26.7333254044298,3
9,0.352697095435685,53.9148613093127,9
8,0.349794238683128,33.661973738938,8
4,0.338645418326693,13.2460989028264,4
3,0.33596837944664,9.29903865439956,3
11,0.358649789029536,153.506239237549,11
2,0.325670498084291,4.25846491273051,2
8,0.34136546184739,28.443446872325,8
4,0.338645418326693,14.9071156609171,4
6,0.230352303523035,87.4198082876875,6
5,0.22911051212938,3.41980828768755,5
9,0.300353356890459,208.755849158454,9
6,0.255255255255255,28.9029358184302,6
7,0.29616724738676,64.5800950812169,7
10,0.36480686695279,839.757606046457,10
7,0.256797583081571,45.7701532314793,7
5,0.22911051212938,2.63191215217531,5
3,0.286195286195286,15.3332656855571,3
1,1,0,1
