"source","target","correlation","direct","cor"
"Succinic.acid","seq98",0.605006105006105,"undirected","+"
"Urocanic.acid","seq98",-0.613553113553113,"undirected","-"
"X4.Pyridoxic.acid","seq98",-0.611721611721612,"undirected","-"
"X2.HYDROXY.4..METHYLTHIO.BUTYRIC.ACID","seq98",0.618437118437118,"undirected","+"
"X3.4.Dihydroxyphenylacetic.acid","seq98",-0.622710622710623,"undirected","-"
"X3.METHYLADIPIC.ACID","seq98",-0.6001221001221,"undirected","-"
"Suberic.acid","seq98",-0.615384615384615,"undirected","-"
"X1..4.Bromophenyl..2..9H.purin.6.ylsulfanyl.ethanol","seq98",-0.755189255189255,"undirected","-"
"Octyl..alpha..ketoglutarate","seq98",0.63003663003663,"undirected","+"
"Succinic.acid","seq113",0.656288156288156,"undirected","+"
"Urocanic.acid","seq113",-0.617216117216117,"undirected","-"
"UROCANATE","seq113",-0.600732600732601,"undirected","-"
"X4.Pyridoxic.acid","seq113",-0.61050061050061,"undirected","-"
"GLYCERIC.ACID","seq113",-0.61050061050061,"undirected","-"
"X2.HYDROXY.4..METHYLTHIO.BUTYRIC.ACID","seq113",0.601343101343101,"undirected","+"
"Leu.Glu","seq113",-0.633089133089133,"undirected","-"
"X1..4.Bromophenyl..2..9H.purin.6.ylsulfanyl.ethanol","seq113",-0.691086691086691,"undirected","-"
"Octyl..alpha..ketoglutarate","seq113",0.679487179487179,"undirected","+"
"L.Kynurenine","seq108",-0.622791620450652,"undirected","-"
"X5.Hydroxyindole.3.acetic.acid","seq108",-0.634063866974646,"undirected","-"
"N..4.Bromophenyl.acrylamide","seq108",-0.641813536459891,"undirected","-"
"X3.METHYL.2.OXINDOLE","seq108",-0.610110343111159,"undirected","-"
"Quinoline.2.carboxylic.acid","seq108",-0.627018712897149,"undirected","-"
"X5.Hydroxyindole.3.acetic.acid","seq95",-0.652933135606285,"undirected","-"
"N..4.Bromophenyl.acrylamide","seq95",-0.62274179841669,"undirected","-"
"X3.METHYL.2.OXINDOLE","seq95",-0.621286794214782,"undirected","-"
"Pro.Asp","seq95",0.603826743791884,"undirected","+"
"Quinoline.2.carboxylic.acid","seq95",-0.604554245892838,"undirected","-"
"GLYCERIC.ACID","seq122",-0.61050061050061,"undirected","-"
"N.Acetyl.D.tryptophan","seq122",-0.626373626373626,"undirected","-"
"X2.Hydroxybenzenemethanol","seq122",-0.601343101343101,"undirected","-"
"GLYCERIC.ACID","seq64",-0.676434676434676,"undirected","-"
"N.Acetyl.D.tryptophan","seq64",-0.654456654456654,"undirected","-"
"X2.Hydroxybenzenemethanol","seq64",-0.603785103785104,"undirected","-"
"X5.Hydroxyindole.3.acetic.acid","seq127",-0.615174249504087,"undirected","-"
"Pro.Asp","seq127",0.618946220933599,"undirected","+"
"GLYCERIC.ACID","seq110",-0.682539682539682,"undirected","-"
"N.Acetyl.D.tryptophan","seq110",-0.654456654456654,"undirected","-"
"GLYCERIC.ACID","seq65",-0.656898656898657,"undirected","-"
"N.Acetyl.D.tryptophan","seq65",-0.636752136752137,"undirected","-"
"GLYCERIC.ACID","seq90",-0.64041514041514,"undirected","-"
"N.Acetyl.D.tryptophan","seq90",-0.626373626373626,"undirected","-"
"GLYCERIC.ACID","seq85",-0.651404151404151,"undirected","-"
"N.Acetyl.D.tryptophan","seq85",-0.614774114774115,"undirected","-"
"GLYCERIC.ACID","seq59",-0.653846153846154,"undirected","-"
"N.Acetyl.D.tryptophan","seq59",-0.613553113553113,"undirected","-"
"GLYCERIC.ACID","seq33",-0.661172161172161,"undirected","-"
"N.Acetyl.D.tryptophan","seq33",-0.628205128205128,"undirected","-"
"GLYCERIC.ACID","seq82",-0.63980463980464,"undirected","-"
"N.Acetyl.D.tryptophan","seq82",-0.633699633699634,"undirected","-"
"GLYCERIC.ACID","seq38",-0.649572649572649,"undirected","-"
"N.Acetyl.D.tryptophan","seq38",-0.64041514041514,"undirected","-"
"GLYCERIC.ACID","seq103",-0.672161172161172,"undirected","-"
"N.Acetyl.D.tryptophan","seq103",-0.655677655677656,"undirected","-"
"GLYCERIC.ACID","seq83",-0.647741147741148,"undirected","-"
"N.Acetyl.D.tryptophan","seq83",-0.671550671550671,"undirected","-"
"GLYCERIC.ACID","seq78",-0.661782661782662,"undirected","-"
"N.Acetyl.D.tryptophan","seq78",-0.652625152625153,"undirected","-"
"GLYCERIC.ACID","seq87",-0.661172161172161,"undirected","-"
"N.Acetyl.D.tryptophan","seq87",-0.635531135531135,"undirected","-"
"Tomatidine","seq75",0.612296535870797,"undirected","+"
