"","low","Means","SD"
"num.edges",110,110,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",90,90,0
"connectance",0.0274656679151061,0.0274656679151061,0
"average.degree",2.44444444444444,2.44444444444444,0
"average.path.length",2.29794826048171,4.65817557376908,0.251830431876813
"diameter",7,10.84,1.18679604333889
"edge.connectivity",0,0,0
"clustering.coefficient",0,0.0281028643166326,0.0181519375929269
"no.clusters",4,9.14,2.18821452976687
"centralization.degree",0.309612983770287,0.0500624219725343,0.0107724154031708
"centralization.betweenness",0.108156109765755,0.159056163419559,0.0459054918179984
"centralization.closeness",1.08203357962756,NA,NA
