"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
14,0.167714884696017,28306.6867194476,14
3,0.134816312773846,827.652797953798,3
6,0.14099400775467,1203.10309677038,6
2,0.117061750073164,399,2
6,0.15180265654649,11437.2664042538,6
4,0.117336462305661,1272.94012470786,4
6,1,15,6
10,0.17174753112924,23025.304472533,10
10,0.147874306839187,9208.97388217973,10
1,1,0,1
5,0.103546466476831,2370.5,5
4,0.129407958589453,3605.77184941228,4
1,0.0951248513674197,0,1
3,0.126462219411951,517.623478355745,3
2,0.140007000350018,399,2
6,0.172043010752688,20915.9720744636,6
2,1,1,2
7,0.129491744901263,2425.74489710697,7
1,1,0,1
1,1,0,1
2,0.0868621064060803,399,2
10,1,45,10
6,0.4375,55,6
4,0.101086681829669,1194,4
6,0.5,67,6
2,0.291666666666667,13,2
35,0.117820324005891,10918.6717948719,35
13,0.116312881651643,2127.53333333333,13
5,0.146145414687614,14169.2607865819,5
3,0.125039074710847,797,3
4,0.140498770635757,2323.56628624838,4
1,0.666666666666667,0,1
1,0.666666666666667,0,1
33,0.14149274849664,14418.5,33
9,0.111018595614765,807.5,9
7,1,21,7
4,0.138073869520193,1194,4
9,0.0874699322108025,3978.16514041515,9
1,1,0,1
11,1,55,11
15,0.5,379.5,15
2,0.262295081967213,0.5,2
2,0.104085349986989,199,2
2,0.104085349986989,199,2
2,0.110588885816975,399,2
1,0.110527770102238,0,1
3,0.0815162013450173,700.045238095238,3
12,0.421052631578947,303.5,12
1,1,0,1
2,0.238805970149254,0.5,2
4,0.0860030101053537,400.5,4
4,0.0819840131174421,2758.25,4
5,0.0706838664074925,1590,5
4,0.096969696969697,6150.15,4
2,0.0817494379726139,1.25,2
2,0.0817494379726139,1.25,2
1,0.0817160367722165,0,1
3,0.0817828664894705,797,3
7,0.296296296296296,66,7
2,0.625,4,2
1,1,0,1
1,1,0,1
3,0.101035615054307,797,3
5,0.129324280633689,1599.47646717919,5
2,0.124960949703218,399,2
1,1,0,1
1,1,0,1
23,0.96,258.5,23
7,0.421052631578947,10.5,7
2,1,1,2
2,0.128741551335694,717.960212381329,2
6,0.140597539543058,7231.87981404411,6
4,0.125746620559572,4298,4
5,0.135639199728722,4584.40743263591,5
2,0.140597539543058,6615.00101233715,2
2,0.141995030173944,399,2
7,0.154380548050946,10700.1387098403,7
6,0.137883488452258,3194.81944377919,6
2,0.110041265474553,796,2
1,0.13136288998358,0,1
1,0.0902730760550666,0,1
2,0.0875848478213269,399,2
1,1,0,1
1,0.109499041883384,0,1
5,0.140007000350018,4469.63637233185,5
2,0.139421401185082,19836,2
3,0.123114804555248,597.975607450052,3
2,1,1,2
1,0.131276665572694,0,1
15,0.142602495543672,10122.8975968606,15
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,0.106866150146941,0,1
1,0.106866150146941,0,1
1,1,0,1
2,0.0814166497048646,399,2
3,0.10584810796507,797,3
1,1,0,1
1,0.666666666666667,0,1
1,0.666666666666667,0,1
3,0.127347978350844,2282.63333333334,3
3,0.103761348897536,2881.76868131866,3
2,0.127266942411709,1455.14444444445,2
2,0.103707544723879,1723.78693528693,2
4,0.128164049983979,6329.38485958483,4
6,0.152264940997335,4790.70890232002,6
1,1,0,1
1,0.119868145040455,0,1
2,0.129407958589453,340.065075097652,2
1,0.0808244089715094,0,1
3,0.0963159162051529,800.9,3
2,0.0812182741116751,1.83333333333333,2
4,0.0965483948829351,1973.54761904761,4
2,0.0812182741116751,1.83333333333333,2
2,0.096455268869062,646.323809523811,2
3,0.115774240231548,17203.9,3
1,0.6,0,1
1,0.6,0,1
1,0.6,0,1
1,1,0,1
2,0.137883488452258,399,2
1,1,0,1
2,0.126063662149385,30.4787545787546,2
1,0.128328521013795,0,1
2,0.128410914927769,399,2
2,0.105960264900662,1191,2
3,0.125667609173735,492.295433639302,3
1,0.125984251968504,0,1
3,0.103977125032493,3337.5015262515,3
4,0.129324280633689,722.800574262339,4
5,0.133734536944166,4026.34198703737,5
2,1,1,2
7,0.0873934891850557,418.615079365079,7
1,0.0868243976557413,0,1
1,0.0868243976557413,0,1
1,0.0868243976557413,0,1
2,1,1,2
1,1,0,1
1,0.5,0,1
1,0.5,0,1
1,0.5,0,1
2,0.625,4,2
1,0.666666666666667,0,1
1,0.666666666666667,0,1
15,0.119868145040455,2942.86726801563,15
2,0.134998312521093,3250.84428409387,2
2,0.125667609173735,399,2
1,0.125588697017268,0,1
1,0.125588697017268,0,1
2,0.125667609173735,30.3718455747246,2
1,0.128990648178007,0,1
2,1,1,2
1,1,0,1
1,0.5,0,1
1,0.5,0,1
1,0.5,0,1
2,0.127510360216768,796,2
1,0.101703534197813,0,1
1,1,0,1
16,1,120,16
2,0.104085349986989,38.8999999999999,2
2,0.104085349986989,38.8999999999999,2
2,0.104085349986989,38.8999999999999,2
2,0.104085349986989,38.8999999999999,2
2,0.104085349986989,38.8999999999999,2
2,0.104085349986989,38.8999999999999,2
2,0.104085349986989,38.8999999999999,2
3,0.104139546992971,437.900000000001,3
2,0.104085349986989,38.8999999999999,2
2,0.104085349986989,38.8999999999999,2
1,1,0,1
1,0.104031209362809,0,1
1,0.104031209362809,0,1
1,0.104031209362809,0,1
1,0.104031209362809,0,1
1,0.104031209362809,0,1
1,0.104031209362809,0,1
1,0.104031209362809,0,1
1,0.104031209362809,0,1
2,0.129324280633689,9024,2
2,1,1,2
1,1,0,1
1,1,0,1
1,1,0,1
5,0.777777777777778,18,5
1,0.666666666666667,0,1
1,0.666666666666667,0,1
1,0.137788494660696,0,1
1,0.137788494660696,0,1
2,0.147874306839187,8072.58831885159,2
2,0.111825552138664,23.6818487068487,2
1,1,0,1
1,0.127347978350844,0,1
1,0.127347978350844,0,1
1,0.127347978350844,0,1
1,0.127347978350844,0,1
6,0.0815162013450173,1592.5,6
3,0.0966417008939357,3582.45476190476,3
2,0.0970638194612958,1191,2
2,0.0815494393476045,124.761904761905,2
1,0.0813504169208867,0,1
3,0.116584086272224,408.691040762098,3
1,0.112580917534478,0,1
