nutrient,jaccard_p,bray_p,bray_power
protein_group,0.016,0.015,0.006
fat_group,0.01,0.008,0.005
carbs_group,0.608,0.565,0.002
fiber_group,0.063,0.062,0.007
sodium_group,0.007,0.004,0.005
vegetable_portions_group,0.038,0.056,0.005
legume_portions_group,0.145,0.142,0.006
grain_portions_group,0.109,0.1,0.004
fruit_portions_group,0.76,0.752,0.009
meat_portions_group,0.692,0.608,0.002
dairy_portions_group,0.532,0.58,0.003
processed_food_portions_group,0.516,0.607,0.003
PUFA_group,0.273,0.338,0.006
cholesterol_group,0.875,0.918,0.004
vitaminA_group,0.002,0.001,0.005
carotene_group,0.34,0.336,0.003
vitaminE_group,0.926,0.919,0.003
vitaminB1_group,0.933,0.929,0.005
vitaminB2_group,0.002,0.002,0.001
vitaminB6_group,0.463,0.461,0.003
folicacid_group,0.867,0.84,0.003
vitaminC_group,0.441,0.477,0.003
potassium_group,0.626,0.647,0.002
calcium_group,0.601,0.591,0.001
magnesium_group,0.153,0.155,0.003
phosphorus_group,0.512,0.564,0.005
iron_group,0.035,0.058,0.01
zinc_group,0.528,0.446,0.003
fermented_portions_group,0.004,0.003,0.005
plant_protein_group,0.562,0.598,0.004
mode_injera,0.634,0.613,0.008
nutrient_score_group,0.236,0.211,0.007
fruit_or_vegetable,0.734,0.75,0.006
animal_product,0.114,0.181,0.007
