variable,bray_p,bray_power,bray_power_adjusted,adjusted_bray
protein,0.346,0.046,0.001,0.7367777777777778
fat,0.884,0.043,0.001,0.887
carbs,0.629,0.042,0,0.8003030303030303
fiber,0.654,0.051,0.001,0.8003030303030303
sodium,0.243,0.05,0,0.7367777777777778
vegetable_portions,0.684,0.043,0,0.8003030303030303
legume_portions,0.196,0.045,0,0.7367777777777778
grain_portions,0.044,0.045,0.002,0.5573333333333332
fruit_portions,0.314,0.054,0.002,0.7367777777777778
meat_portions,0.31,0.05,0.001,0.7367777777777778
dairy_portions,0.068,0.044,0,0.646
processed_food_portions,0.887,0.054,0.003,0.887
fermented_portions,0.42,0.04,0,0.76
PUFA,0.546,0.066,0.002,0.8003030303030303
cholesterol,0.349,0.05,0,0.7367777777777778
vitaminA,0.822,0.036,0.001,0.8676666666666666
carotene,0.143,0.043,0,0.7367777777777778
vitaminE,0.695,0.039,0.002,0.8003030303030303
vitaminB1,0.582,0.059,0.001,0.8003030303030303
vitaminB2,0.176,0.04,0,0.7367777777777778
vitaminB6,0.305,0.049,0.002,0.7367777777777778
folicacid,0.185,0.036,0,0.7367777777777778
vitaminC,0.772,0.041,0.002,0.8381714285714286
potassium,0.151,0.048,0.002,0.7367777777777778
calcium,0.007,0.055,0.001,0.133
magnesium,0.005,0.055,0,0.133
phosphorus,0.75,0.052,0.001,0.8381714285714286
iron,0.518,0.052,0,0.8003030303030303
zinc,0.194,0.052,0,0.7367777777777778
plant_protein,0.603,0.045,0,0.8003030303030303
nutrient_score,0.557,0.054,0.001,0.8003030303030303
fruit_or_vegetable,0.468,0.038,0.001,0.8003030303030303
animal_product,0.346,0.053,0.001,0.7367777777777778
mode_injera,0.637,0.044,0.001,0.8003030303030303
diarrhea,0.302,0.05,0.002,0.7367777777777778
bloating,0.401,0.044,0,0.76
abdominalpain,0.625,0.054,0,0.8003030303030303
lower_appetite,0.417,0.042,0.001,0.76
