nutrient,bray_p,bray_power,bray_power_adjusted,adj_bray_p
protein,0.096,0.044,0.001,0.456
fat,0.226,0.045,0.001,0.456
carbs,0.252,0.054,0,0.456
fiber,0.373,0.056,0.002,0.5451538461538461
sodium,0.223,0.049,0.002,0.456
vegetable_portions,0.082,0.039,0.001,0.456
legume_portions,0.268,0.047,0.001,0.456
grain_portions,0.729,0.05,0.001,0.8606486486486485
fruit_portions,0.059,0.035,0.002,0.456
meat_portions,0.222,0.06,0.001,0.456
dairy_portions,0.093,0.052,0,0.456
processed_food_portions,0.199,0.046,0,0.456
fermented_portions,0.719,0.047,0.004,0.8606486486486485
PUFA,0.977,0.047,0.002,0.977
cholesterol,0.034,0.054,0,0.456
vitaminA,0.782,0.034,0.003,0.8606486486486485
carotene,0.836,0.038,0.002,0.8606486486486485
vitaminE,0.749,0.055,0.001,0.8606486486486485
vitaminB1,0.014,0.045,0,0.456
vitaminB2,0.301,0.062,0.001,0.4765833333333333
vitaminB6,0.091,0.049,0.001,0.456
folicacid,0.838,0.054,0.001,0.8606486486486485
vitaminC,0.337,0.047,0.002,0.51224
potassium,0.142,0.038,0.001,0.456
calcium,0.098,0.046,0,0.456
magnesium,0.475,0.047,0.001,0.6446428571428572
phosphorus,0.255,0.043,0,0.456
iron,0.796,0.05,0.001,0.8606486486486485
zinc,0.464,0.05,0,0.6446428571428572
plant_protein,0.241,0.046,0.001,0.456
nutrient_score,0.541,0.048,0.001,0.6852666666666667
fruit_or_vegetable,0.261,0.043,0.001,0.456
animal_product,0.117,0.047,0.002,0.456
mode_injera,0.52,0.047,0.001,0.6813793103448276
diarrhea,0.276,0.047,0.002,0.456
bloating,0.132,0.06,0.002,0.456
abdominalpain,0.147,0.057,0.001,0.456
lower_appetite,0.185,0.057,0.001,0.456
