nutrient,microbe,health_outcome,total_effect,total_p,direct_effect,direct_p,indirect_effect,indirect_p,proportion_estimate,proportion_p,adjusted_indirect_p,adjusted_total_p
grain_portions,Blautia,diarrhea,-0.011922104099694476,0.009,-0.010056791296619587,0.054,-0.0018653128030748892,0.255,0.15645835562891042,NA,0.286875,0.019058823529411763
grain_portions,Rothia,diarrhea,-0.013532031137831585,0.012,-0.008061269415080684,0.125,-0.0054707617227509,0.041,0.4042823776436826,NA,0.20249999999999999,0.019058823529411763
vitaminC,Catenisphaera,diarrhea,2.4122627229324273e-4,0.006,1.7046409873431223e-4,0.013,7.076217355893053e-5,0.202,0.2933435603270844,NA,0.24790909090909094,0.019058823529411763
vitaminC,FamilyXIIIUCG_001,diarrhea,2.79561439899471e-4,0.011,1.6540666990412436e-4,0.064,1.1415476999534668e-4,0.082,0.408335176826948,0.081,0.21457894736842104,0.019058823529411763
vitaminC,Isobaculum,diarrhea,2.3397737506614726e-4,0.002,1.6481767922566876e-4,0.009,6.915969584047853e-5,0.269,0.295582834968238,NA,0.29052000000000006,0.018000000000000002
vitaminC,Oribacterium,diarrhea,2.3978398567994468e-4,0.002,2.1048091040371482e-4,0.025,2.9303075276229847e-5,0.341,0.1222061398017738,0.341,0.341,0.018000000000000002
vitaminC,Z20,diarrhea,2.536245385785087e-4,0.003,1.9912070082280843e-4,0.007,5.4503837755700264e-5,0.305,0.21489970198143415,NA,0.31673076923076926,0.019058823529411763
plant_protein,Oribacterium,diarrhea,0.009412581662541549,0.021,0.007476347959224714,0.059,0.0019362337033168356,0.236,0.2057069752735639,0.247,0.27704347826086956,0.023625
fruit_portions,Atopostipes,bloating,0.01725873188170565,0.011,0.006108182218135097,0.211,0.011150549663570552,0.008,0.6460816321847028,0.019,0.108,0.019058823529411763
fruit_portions,Blautia,bloating,0.020692343926841536,0.023,0.01641602047437589,0.066,0.004276323452465647,0.168,0.20666210979213998,0.191,0.22628571428571428,0.02484
fruit_portions,Isobaculum,bloating,0.019974383831326353,0.02,0.014671637708929226,0.061,0.005302746122397127,0.176,0.26547733172528154,0.19,0.22628571428571428,0.02347826086956522
fruit_portions,Jeotgalicoccus,bloating,0.013153932893519892,0.007,0.003983485517237609,0.257,0.009170447376282285,0.005,0.6971639167172565,0.008,0.108,0.019058823529411763
fruit_portions,Oceanicella,bloating,0.018002524091810638,0.017,0.012610539730299963,0.062,0.0053919843615106745,0.116,0.2995126868883621,0.123,0.21457894736842104,0.02295
fruit_portions,Subdoligranulum,bloating,0.01969271110805122,0.016,0.013659666264235086,0.069,0.006033044843816131,0.069,0.3063592824123422,0.083,0.21457894736842104,0.02273684210526316
fruit_portions,Eubacteriumhalliigroup,bloating,0.02052794542796988,0.018,0.01438679476046849,0.08,0.006141150667501392,0.045,0.2991605121442844,0.059,0.20249999999999999,0.023142857142857142
plant_protein,Comamonas,bloating,0.008603959026394598,0.031,0.006607586421355215,0.086,0.0019963726050393825,0.138,0.23202953418479288,0.167,0.21457894736842104,0.031
plant_protein,Pajaroellobacter,bloating,0.008394077145581064,0.015,0.006256913715509748,0.076,0.002137163430071317,0.134,0.254603739399321,0.141,0.21457894736842104,0.0225
fruit_or_vegetable,Hespellia,abdominalpain,0.004324430231547199,0.011,0.003090145372748494,0.094,0.0012342848587987055,0.099,0.2854213833291749,NA,0.21457894736842104,0.019058823529411763
fruit_or_vegetable,Mobiluncus,abdominalpain,0.003487473869846427,0.02,0.0026082837007290987,0.116,8.791901691173287e-4,0.151,0.25209942839114213,NA,0.21457894736842104,0.02347826086956522
fruit_or_vegetable,Papillibacter,abdominalpain,0.004367165438895383,0.026,0.0031340773253806164,0.104,0.0012330881135147666,0.055,0.2823543396209556,0.077,0.21214285714285716,0.027
vitaminA,Cryomorpha,lower_appetite,2.4869443029920453e-5,0.006,1.6003923201497382e-5,0.025,8.86551982842307e-6,0.117,0.3564824438471321,0.123,0.21457894736842104,0.019058823529411763
vitaminA,LachnospiraceaeUCG_001,lower_appetite,2.4190551186786778e-5,0.001,1.6623390965055543e-5,0.037,7.567160221731235e-6,0.02,0.3128147086563503,0.021,0.18,0.018000000000000002
vitaminA,Marinicella,lower_appetite,2.4053481067595087e-5,0.004,1.928798294739764e-5,0.035,4.765498120197446e-6,0.145,0.19812093338196846,0.149,0.21457894736842104,0.019058823529411763
vitaminA,Papillibacter,lower_appetite,2.8848694330518393e-5,0.005,2.297560430225343e-5,0.039,5.873090028264963e-6,0.094,0.20358252477485445,0.097,0.21457894736842104,0.019058823529411763
vitaminC,LachnospiraceaeUCG_001,lower_appetite,3.8226984868433756e-4,0.009,2.924460973997351e-4,0.044,8.982375128460248e-5,0.03,0.23497472163643013,0.035,0.20249999999999999,0.019058823529411763
vitaminC,Papillibacter,lower_appetite,3.5637485665140965e-4,0.008,2.972941063827398e-4,0.023,5.9080750268669874e-5,0.1,0.16578259988319008,0.104,0.21457894736842104,0.019058823529411763
vitaminC,Yaniella,lower_appetite,3.7462262183700975e-4,0.012,3.2664893265425745e-4,0.019,4.797368918275236e-5,0.131,0.1280587086479382,0.131,0.21457894736842104,0.019058823529411763
