Name,X622,X628,X632,X634,X638,X640,X642,X644,X648,X650,X652,X653,X654,X655,X660,X661,X666,X667,X671,X672,X676,X686,X688,X690,X692,X696,X697,X698,X699,X700,X701,X703,X705,X706,X712,X748,X762,X767,X779,X784,X802,X803,X804,X807,X811,X814,X815,X816,X817,X823,X824,X825,X830,X1000,X1001,X824m,X824s
L.Threonine,1041579,539221.4,857663.1,778593.1,179816.2,740628.7,611895.7,249329.8,712128.8,537805.3,519317.4,374877.1,422168.6,414674.5,101638.7,664671.6,1232236,988721.7,739623.9,527256.7,628088.9,772001.7,573626.8,510284.6,164890.941,463688.3,492263,513835.8,450553.7,976767.5,581719.9,488340.5,247638.4,328666.5,938718.9,725646.4,1060798,554853.8,811658.9,463406.7,440345.4,525904.9,627896,726885.7,572306.3,151195.1,846422.8,535479.1,551720.8,1119857,594578,694366.6,502551.3,917407.4,739647.1,669201.4,602897.1
L.CARNITINE,320386.4,83088.22,137479.6,331973.5,54747.73,244228.7,94414.02,757003,125538.2,297193.8,357567.1,66467.17,96581.36,143118.4,542697.8,119086.2,173765.9,229558.4,475096.2,207530,92625.66,133838.9,112648,791573.9,185039.063,86268.02,232560.9,105634.1,131558,259926.1,156165.7,68393.82,155886.4,301437.3,247184.7,185146,284572.4,120037.4,467440.5,41758.06,117305.4,134576.2,114604.4,91970.62,58875.19,196445,197542,58492.05,94251.22,113454.6,56156.17,370325.7,282294.7,91860.46,313875,51982.19,96632.42
ASPARTIC.ACID,1777426,427651.7,730749.9,720552.8,174541.2,883490.7,1049239,673758.4,710081.5,501799.5,414447,631675.4,118343,75780.72,668634.2,694142.6,1103889,1778037,921343.2,522590.3,1059241,616939.7,725082.7,1024184,159406.74,596756.9,464406.8,678546.8,302241.5,834986.8,449914.4,394236.8,223559.3,223897.4,1176745,513211.6,813602.5,411457,1023840,813720.4,309605.3,531787.1,376745.6,836197.1,620796,471569,1381398,886652.5,464809.2,586323.6,526936.1,803943.2,537724.3,803999.4,430121.8,665702.1,786382.4
DEOXYCARNITINE,5798293,2810950,1022446,5322541,2340554,4425888,3936556,2425800,6133852,4351948,3075118,3437290,1194239,3567588,3047954,3112619,4505394,1891107,3776322,3964807,3118072,3980564,1793734,2456948,3172016.676,4699050,4697432,4305951,5200052,4403732,4807563,1306588,4082247,7512711,4969623,6201379,2847202,4074769,3167583,3230329,4030518,4557856,4311221,2259941,1984234,2454719,1665263,3032269,2099547,5676299,2931315,3374886,3048484,3578409,8139691,2967129,4238727
L.Serine,639803.7,216148.8,111097.5,262744.8,955613.4,748247.3,447926.7,229879.2,299154,156683.5,117273.1,79155.23,371996.7,267178.3,173696.4,489985.8,258525.1,357385.6,342192.6,159703.8,28967.2,209977.9,299256.1,557150.8,20030.386,385936.3,152354.6,180881.1,253308.7,593353.9,320060.1,176590.1,97538.74,130158.5,420239.1,260938,952442.4,199152.4,254606.9,124220,180706.6,157237.7,211003.1,243245.9,310788.7,146363.7,526980.3,499127.5,135008.1,203210.5,74965.12,412452.5,80931.82,115618.8,138046.3,133282.5,328924.6
XANTHINE,44691.43,56008.98,35629.35,84832.19,83098.36,82001.13,71514.81,58346.55,50888.69,42807.36,50404.73,77818.82,106414.8,54047.22,70678.16,65968.43,47536.49,63156.14,73187.7,55232.43,71319.37,40251.77,36879.28,54544.17,59977.247,65854.57,63719.06,61390.13,73583.44,59748.85,53125.47,67397.44,46336.8,60493.35,55683.08,55270.35,24250.05,70348.36,40058.29,62532.9,79024.47,68252.77,61640.41,56119.82,79179.83,40298.4,135973.1,94968.51,68715.22,55218.8,62067.62,74885.02,47895.34,38090.86,66677.11,51472.76,75084.77
METHIONINE,4887687,6946568,6734379,7889286,2181045,5461728,6176328,4020998,6346676,6097912,7902139,7360124,5756373,4505602,5210682,5949796,5992412,5733604,5209384,6384703,6869532,5855394,5958442,3803335,4412813.755,6048861,5196576,3896301,4753152,3658129,6175440,7780491,3324851,3201362,5149023,5368227,3722486,6325315,3552770,7245327,7324923,6980675,5218622,6532192,5011872,3358595,4501389,4503010,6485598,6285364,8759714,6629071,8673264,7724965,4250203,6985855,7001977
X1.Methylxanthine,164922.8,251495.2,207393.8,234267.6,232634.2,195837,183954.4,205412,230600.3,120846.1,189636.4,178976.5,158981.2,218943.7,354047.1,209779.7,209098.2,205947.8,270365.7,214746.3,155070.5,138910.1,155406.9,207528.2,249313.603,216668.1,315707.3,124840.7,231222.4,237937.7,189904,232388.6,225883.5,168285.9,217503,140956.5,150920.7,298926,220287.4,247176.7,306227.3,168981.6,201589,220508.5,213193,141225.5,255287.8,257180.5,210289.4,291915.3,297382,325935.5,98756.68,141254.2,308115.2,207375.3,281548
L.Proline,8624593,9142484,10814390,9126731,9451817,9236996,6698575,15204750,8657024,5949558,8972234,7721244,6629868,9492115,7710534,9380425,8522610,4870665,6072480,5415343,9642979,9504456,8373208,9914645,6154987.357,8779667,4453931,9487230,6453257,5945301,8013230,9638310,1780844,2796369,8461736,9830339,7911335,8306631,8084952,9459746,8632285,9594934,9905348,13468790,11251530,2201695,5232967,9756507,13745900,8248583,10091180,8519228,10510870,9849646,6433649,9930247,8954719
BETAINE,152373.4,1274597,148963.1,94387.62,156123.8,213579.7,182473.2,125405.9,136208.3,535922.9,136946.8,363642.8,132977.8,900778.9,1272128,209212,141361.5,154494.5,338244,80932.89,510847.2,371694.4,237021.1,466572.2,2492136.39,266220.1,353305,129598.3,113342.7,340272.9,355042.8,48434.09,123047.1,451075.1,232563.4,110418,170739.7,74746.33,216283,181608.6,347525.2,480080.6,127893.6,62504.02,72438.31,975350.7,577336.3,171612.6,65450.06,160070.6,246997.2,244404,128878.5,98642.58,203228,304725.7,222944.2
Succinic.acid,418951.9,3042231,2633730,865891.5,560500.3,294281,850614.9,2696811,3668.299,938781.9,1505712,1987550,52665.98,8589990,2792935,242900.8,633115.4,1241775,535334.9,661829.7,1748968,2156314,6663.986,6110.351,10883750.933,2453.748,2057314,461189.4,958462.7,442129.9,111544.7,2122115,1108946,1825457,330299.7,2425598,1980549,1806874,2711613,3157614,1665454,2979673,906512.3,64914.46,1629224,5015149,5104954,447129.2,1566376,1748075,3146182,1395466,4183760,2118730,1031452,2948747,2773904
Nicotinic.acid,727723.8,1104064,853579.7,1808870,340945,799779.4,1651943,1481556,1572553,2195932,1249327,965839.1,770373.9,1095000,1375880,776757.5,1544531,1302560,1455519,3198346,805550.4,3198627,974581.2,2056775,1038957.563,1238612,2680926,1202492,1769121,1486891,1148379,2396928,2021891,1842023,1644058,1855449,1678837,1887595,1020464,1033846,1598003,1318517,1591991,1141728,1065618,501607.6,1071504,1053171,1817741,1431341,1472475,2250314,1483319,1663241,2089823,1069216,1411138
L.Histidine,91501.56,97743.59,114629.4,246610.1,67338.79,96765.03,434089.7,31702.04,274756.9,241306.7,96859.35,264369.7,359631.7,46386.04,14300.05,117133.4,199328.9,369578.9,298355.4,315607.7,235977.9,344033.6,176716.1,117659,76348.485,109335,155306.5,154721.1,229128.6,243148.8,201028.5,112200,114591,161644.3,357503.6,200030.5,613966.6,114290.8,57972.77,76822.39,69998.44,65216.36,76309.93,235980.9,62671.61,22438.19,443134.6,96822,195860.7,180430.4,123938.2,358380.2,30740.26,139077.1,41945.27,124127.3,148682.9
Lysine,1693598,1046175,1220917,734292.3,1041132,1171081,865820.7,1551463,854204.7,667578.6,959885,575796.7,1111236,905021.4,1494302,1150269,916177.7,1158187,763013.1,653640.8,881868.8,1036006,1087826,1302455,30490.904,1256231,415585.6,1163926,1001321,660404.4,1037053,1452055,295662.8,341035.7,1170707,1061551,1457482,810632.8,1747988,1408658,561281.2,1562255,758628.9,1563832,1232346,1527786,789296.2,1291621,710627.6,654652.7,911579.7,1231608,2151908,905117.6,361047.4,1111236,1571609
L.Glutamic.acid,4833465,256103.7,4212547,2902548,2009005,324979.9,83192.22,3049252,2427418,2337453,2785542,617447.3,1834494,1130501,2100002,623416.6,4918580,5097991,3646361,1693001,1215541,227863.6,2569493,2844581,845597.695,2246432,1734635,2325634,235071.1,3473899,2010171,2842713,1417472,1383193,188141.4,2289524,3649858,2610304,4138391,2291158,1502584,2857985,3291624,2396988,3187033,3089892,2448067,2988975,982325,4183427,3565172,95230.74,4600141,3947547,2300554,4010233,2703386
N.Acetyl.D.glucosamine,887843.2,53507.19,26668.19,721845.1,33580.8,1908407,592840.6,45480.47,444233.5,552376.6,53861.94,26654.9,370466.4,291185.7,96797.79,1077917,673137.9,777265.4,1798438,969026.2,20890.95,900953.9,435683.5,504283.1,54254.223,1138493,1524258,488306.6,645772.3,1174985,1780619,480513.1,781691.7,780693.3,1112581,1279416,1179085,741525.1,33458.06,24309.21,623316.2,248627.3,79923.85,490256.3,46211.64,53007.22,1768844,704675.9,37731.19,473569.8,94028.35,1021273,32910.81,223935.6,921333.9,72557.96,840451.1
